model,variable,coef,se,pvalue
excl_high_trade,ltrade,-0.05007613944083349,0.015116754270512943,0.0009357914515850663
excl_high_trade,linv,0.09016942543241796,0.011114448427674806,6.661338147750939e-16
excl_high_trade,school,-0.0008334729628557651,0.00037828224478623617,0.027652679629605936
excl_high_trade,popg,0.017772897363912212,0.0026471196007045914,2.275868382639601e-11
excl_high_trade,r2,0.041896764074649595,,
excl_high_trade,n_obs,3040.0,,
lag_trade,ltrade_lag1,-0.02376659627184956,0.014397259024053255,0.09889221549972671
lag_trade,linv,0.08941772421115296,0.010860691729225989,2.220446049250313e-16
lag_trade,school,-0.0007207475120499522,0.0003792809356748876,0.05749181437507889
lag_trade,popg,0.01779748395248968,0.002475648208784761,8.244516180866412e-13
lag_trade,r2,0.04214265115140081,,
lag_trade,n_obs,3134.0,,
first_diff,d_ltrade,0.08331735558545723,0.008290299819123822,0.0
first_diff,d_linv,0.036558254535119045,0.005573016664700471,6.40179020905407e-11
first_diff,d_school,0.0007720161078234295,0.0002842719307844264,0.006653269233824144
first_diff,d_popg,-0.0015098649864653734,0.0010044202653255608,0.13289610190766887
first_diff,r2,0.06614895099964824,,
first_diff,n_obs,2952.0,,
